FIPStract,tractid,p_white,p_black,p_hispanic,total_housing_units,occupied_housing_units,vacant_housing_units,p_occupied,p_vacant,p_owner_vacant,p_renter_vacant,median_grossrent_allhouses,median_grossrent_nobedrms,median_grossrent_onebedrms,median_grossrent_twobedrms,median_grossrent_threebedrms,median_grossrent_fourbedrms,median_grossrent_fivebedrms,average_grossrent_nobedrms,average_grossrent_onebedrms,average_grossrent_twobedrms,average_grossrent_threebedrms,median_grossrent,average_gross_rent,median_contract_rent,average_contract_rent,average_rooms,owner_average_rooms,renter_average_rooms,median_rooms,owner_median_rooms,renter_median_rooms,average_bedrms,owner_average_bedrms,renter_average_bedrms,median_yearbuilt,owner_median_yearbuilt,renter_median_yearbuilt,median_yearmovein,owner_median_yearmovein,renter_median_yearmovein,p_renter_higherthan_highschool,p_renter_higherthan_bachelor,p_higherthan_highschool,p_higherthan_college,owner_average_income,renter_average_income,median_hhinc,owner_median_hhinc,renter_median_hhinc,tract_assault_all,tract_arrest_all,tract_theft_all,presp_white,presp_black,presp_hispanic,tract_bathrooms,tract_sqft,tract_theft,tract_assault,tract_arrest,tract_elementary_school_score,tract_middle_school_score,tract_high_schol_score,tract_nightlife,tract_particulate_matter,tract_ozone,tract_nata_diesel_pm,tract_nata_airtoxics_cancerrisk,tract_nata_respiratory_hazard,tract_traffic_proximity_volume,tract_lead_paint_indicator,tract_superfund_proximity,tract_rmp_proximity,tract_hazardous_waste_proximity,tract_wastewater_discharge,tract_dist_tri,tract_pop_overage_64,tract_pop_underage_5,tract_poplessthan_highs,tract_linguistic_pop,tract_low_income_population,tract_minority_population,tract_toxic
42091205100,115,0.78103977,0.066055045,0.024464833,723,600,123,83,17,4.9,8.6,1583,1181.3013,982,1728,2136,2153.1155,1393,875,1073.5981,1377.7372,1336.8055,1583,1613.1984,1511,1561.1732,5.8683333,8.0748901,4.5254693,5.5,9,4.7,2.7883334,4.013216,2.0428956,1945,1939,1952,2012,2006,2011.5552,1,0.64879358,0.99410379,0.78773582,111850.22,63827.078,77639,140938,45917,61.051815,61.597656,127.91733,0.61450058,0.29741046,0.32945818,1,144080,127.66666,62.666668,80,4.5999999,4.5,4.2222223,9,11.1,44.466667,1.2133334,46,2.0666666,316.66666,0.73333335,0.13666667,0.25666666,0.88333333,0.043333333,3.1132691,15.666667,5.3333335,10,3.6666667,31.666666,60.333332,0
42091205200,116,0.88703513,0.002780674,0.030239834,1340,1320,20,98.5,1.5,0,0,1480,1045,1288,1730,1914.1,2441,1393,1089.2858,1250,1448.5294,1500,1480,1585.5817,1399,1487.3762,6.5446968,7.5840611,4.1881189,7.3,8.4,3.7,3.0272727,3.6211791,1.680693,1954,1953,1958,2006,2003,2013,1,0.87376237,0.99291784,0.8597734,115592.25,66782.18,102237,162708,60500,76.701912,55.106022,150.03304,0.51832455,0.39222902,0.41269189,1.5,7248,492.33334,105.33334,46.333332,7,6.5,9,129.33333,11.4,44.299999,2.4566667,60.666668,3.0333333,716.66669,0.67666668,0.22766668,0.69966668,4.5599999,1566.6666,3.6212637,13.333333,4.6666665,8.333333,3,35,43,0
42091205300,117,0.58488804,0.22947761,0.09561567,988,947,41,95.9,4.1,0,2.9,1118,461,738,1303,1728,1750,1393,400,687.05884,1266.3289,1360.3352,1118,1176.4858,1029,1059.324,4.9334741,6.2627735,4.3922734,4.7,6,4.1,2.2893348,3.1423357,1.9420506,1950,1939,1953,2011,2001,2012,0.89598811,0.55126297,0.87266666,0.57333332,86395.984,53428.676,48583,91000,34732,68.003929,64.260185,134.21526,0.53301191,0.4294219,0.35690463,1.25,2026,392.5,258,100.5,2.0769231,2.1666667,1,20.5,11.299999,43.5,2.105,52,2.8000002,565,0.745,0.28,1.3,7.1999998,500.034,3.5352731,8.5,8,27.5,9,68.5,75,0
42091205400,118,0.7460652,0.040726919,0.079668991,2758,2732,26,99.1,0.9,0,0,1412,991.97949,1200,1639,2248,2359.5754,1393,1250,1221.4286,1394.0341,1500,1412,1562.2314,1377,1521.957,6.0980968,7.9010167,3.9824979,5.8,9,3.9,2.8663983,3.8759322,1.681782,1953,1948,1956,2008,2000,2012,0.96579158,0.76054096,0.98156583,0.87378007,126315.26,74966.188,126970,207981,61387,36.629265,60.977592,81.684875,0.79760444,0.30166546,0.71856666,1.7,19306.072,194.54546,117.09091,69.727272,4.5968256,5.0729165,4.6150794,49.909092,11.241667,44.133335,1.8066666,52.333332,2.6333334,693.33331,0.71750003,0.17874999,0.55000001,2.9766667,648.67706,2.8273351,14.833333,6.0833335,13.083333,5.25,37,58.5,0
42091205501,119,0.73845756,0.14960021,0.051844209,1825,1712,113,93.8,6.2,0,3.2,1254,790.33807,1121,1402,1440,1947.9772,1393,1092.1052,1159.9843,1314.0034,1412.3135,1254,1450.9843,1176,1362.1063,5.7721963,7.1371489,4.1641221,5.8,7.2,4,2.7096963,3.474082,1.8091604,1939,1939,1943,2008,2001,2012,0.94783717,0.73664123,0.95100224,0.65367484,97162.523,59503.816,74231,101389,53150,56.768414,74.846725,113.76511,0.61777079,0.52094668,0.29123846,1.6,9693.083,230.66667,81.888885,96.555557,6.6145835,6.1875,5.1224489,70.333336,11.288889,44.477779,1.8377779,54.222221,2.6777778,652.22223,0.68444443,0.25066668,0.29222223,2.4977777,1177.7778,3.4208627,14.888889,5.1111112,5.7777777,2.7777777,24.111111,30.888889,0
42091205600,120,0.85588914,0.039030023,0.031870671,1978,1857,121,93.9,6.1,0,0,1403,1250,1164,1543,2113,2392.9751,0,1156.25,1166.8632,1371.0938,1465.4471,1403,1486.8859,1299,1352.6545,6.2509422,7.2064409,4.4597526,6.3,7.4,4.6,2.9025309,3.4938068,1.7941177,1939,1939,1952,2006,2001,2013,0.97523218,0.76625389,0.97463882,0.77367574,108439.3,76180.344,101250,114736,64531,57.614544,54.46722,113.6917,0.76831186,0.61818731,0.75442827,1.5,3258.875,360.25,94,42.25,6.6666665,6.6666665,3,85.75,11.3,44.299999,1.9025,55,2.675,785,0.66250002,0.1885,0.89499998,2.5224998,1750,2.2260501,16.25,5.25,4.5,3.5,18.75,30.5,0
42091206007,121,0.60065913,0.054305773,0.037111335,2338,2267,71,97,3,0.9,0,1137,937,1064,1179,1829.5111,2588,0,1222.3759,1073.0769,1232.8726,1335.7142,1137,1195.1675,1087,1090.7217,6.2668724,7.5298457,3.8402061,6.1,8.3,3.7,2.9395678,3.5922201,1.685567,1975,1974,1977,2008,2003,2013,0.97036082,0.63015461,0.98729712,0.71206772,109366.2,74416.883,87656,155363,72554,12.999643,4.9243279,24.629976,0.16662195,0.11397447,0.87255973,1.5,1175,141,82,7,4,4,1,3,11.1,44.599998,0.97000003,43,1.9,370,0.34999999,0.098999999,0.13,0.50999999,590,2.3310046,18,6,6,2,23,26,0
42091206901,122,0.72309011,0.080890223,0.068478495,1967,1941,26,98.7,1.3,0,2.5,1086,508,684,1295,1729,1792,0,583.65387,803.97729,1196.9932,1458.6093,1086,1043.7251,989,925.34863,5.7135496,7.7688112,3.8730469,5.8,8.1,3.8,2.5151985,3.5899673,1.5527344,1973,1972,1974,2009,1997,2012,0.8671875,0.29785156,0.91141909,0.49623379,107355.51,46416.016,62378,120813,30000,32.595116,3.2192607,45.647228,0.1196557,0.92309409,0.8905611,1.7916666,1205.9,210,57.666668,101,6.6999998,6.1666665,9,55,10.75,45.366669,1.5133333,48.833332,2.2833333,426.66666,0.40166667,1.2866666,1.5,3.7333333,466.67841,0.76454437,19.166666,4.8333335,7.3333335,5.1666665,20.666666,24.5,1
42091207004,123,0.85229278,0.036155201,0.033509701,1778,1749,29,98.4,1.6,0,5.8,994,2433,941,971,1669,1957,0,1399.3535,921.8269,961.79248,1433.4862,994,1106.0526,946,1011.7368,6.4236708,7.2291994,4.2631578,6.7,7.2,3.7,2.8867924,3.2951334,1.7915789,1983,1985,1975,2005,2001,2013,0.95578945,0.18947369,0.95603693,0.48168206,99218.992,45557.895,74401,102639,37434,71.913162,25.392805,135.31348,0.497742,0.45485514,0.56895137,1.125,84242,100,100,100,2.1111112,2,2.125,18,11.4,43.700001,2.01,50,2.5999999,360,0.64999998,0.13,0.63,5.1999998,840,2.1191874,10,6,23,3,70,85,0
42091208704,124,0.7261709,0.16906327,0.050328676,1847,1700,147,92,8,4.4,3.9,837,516.35693,730.79865,824,1334,1179.0571,0,875,545.03204,846.23895,1202.5529,837,976.2605,758,799.07562,6.0100002,6.6740947,4.8619585,6.1,6.6,5,2.7011764,3.0399258,2.1155698,1984,1987,1981,2006,2004,2011,0.84590691,0.051364366,0.89976054,0.33219296,79756.266,47395.668,55933,74884,36399,29.870554,11.668855,59.095585,0.28332743,0.40236783,0.51986086,1.750813,27860,118,58,25,2,2,4.3333335,13,11.2,44.966667,0.89266664,42,1.8666667,226.66667,0.39666668,0.31966665,0.55333334,0.60666668,1533.4933,1.9979104,15.666667,6.6666665,10.333333,1.3333334,29.666666,37.333332,0
